is_working,state,city,street,country
working,PA,Philadelphia,"501 Franklin Mill Cir",USA
working,PA,Easton,"3708 Easton Nazareth Hwy",USA
working,NY,"La Grangeville","Freedom Business Center Rt 55",USA
working,CT,Southbury,"100 Main St North",USA
working,PA,Bensalem,"1240 Bristol Pike",USA
working,CT,Seymour,"Rt 67 & 255 Bank St",USA
working,CT,"West Haven","1129 Campbell Ave",USA
working,PA,"Wind Gap","1036 S Broadway",USA
working,NY,Poughkeepsie,"733 Main St",USA
working,CT,"New Haven","280 Kimberly Ave",USA
broken,PA,Philadelphia,"9970 Bustleton Ave",USA
broken,NY,Hyland,"650 Rte 9 W Bridgeview Plaza",USA
working,NJ,"Mount Laurel","3049 Route 38",USA
working,PA,Hatboro,"121 N York Rd",USA
working,PA,Warrington,"250 Metro Drive",USA
broken,CT,"New Haven","1094 Whalley Ave",USA
working,NY,Riverhead,"268 Ny Rte 58",USA
working,CT,"New Haven","250 Whalley Ave",USA
working,NJ,Delran,"4057 Route 130",USA
working,PA,Horsham,"Pa Rte 611 And Pine Ave",USA
working,PA,Philadelphia,"8901 Franford Ave",USA
working,NY,Poughkeepsie,"Mid Hudson Center",USA
